"ID","A","B","C"
"0","a0","b0","c0"
"1","a1","b1","c1"
"2","a2","b2","c2"
"3","a3","b3","c3"
"4","a4","b4","c4"
"5","a5","b5","c5"
"6","a6","b6","c6"
"7","a7","b7","c7"
"8","a8","b8","c8"
"9","a9","b9","c9"
"10","a10","b10","c10"
"11","a11","b11","c11"
"12","a12","b12","c12"
"13","a13","b13","c13"
"14","a14","b14","c14"
"15","a15","b15","c15"
"16","a16","b16","c16"
"17","a17","b17","c17"
"18","a18","b18","c18"
"19","a19","b19","c19"
"20","a20","b20","c20"
"21","a21","b21","c21"
"22","a22","b22","c22"
"23","a23","b23","c23"
"24","a24","b24","c24"
"25","a25","b25","c25"
"26","a26","b26","c26"
"27","a27","b27","c27"
"28","a28","b28","c28"
"29","a29","b29","c29"
"30","a30","b30","c30"
"31","a31","b31","c31"
"32","a32","b32","c32"
"33","a33","b33","c33"
"34","a34","b34","c34"
"35","a35","b35","c35"
"36","a36","b36","c36"
"37","a37","b37","c37"
"38","a38","b38","c38"
"39","a39","b39","c39"
"40","a40","b40","c40"
"41","a41","b41","c41"
"42","a42","b42","c42"
"43","a43","b43","c43"
"44","a44","b44","c44"
"45","a45","b45","c45"
"46","a46","b46","c46"
"47","a47","b47","c47"
"48","a48","b48","c48"
"49","a49","b49","c49"
"50","a50","b50","c50"
"51","a51","b51","c51"
"52","a52","b52","c52"
"53","a53","b53","c53"
"54","a54","b54","c54"
"55","a55","b55","c55"
"56","a56","b56","c56"
"57","a57","b57","c57"
"58","a58","b58","c58"
"59","a59","b59","c59"
"60","a60","b60","c60"
"61","a61","b61","c61"
"62","a62","b62","c62"
"63","a63","b63","c63"
"64","a64","b64","c64"
"65","a65","b65","c65"
"66","a66","b66","c66"
"67","a67","b67","c67"
"68","a68","b68","c68"
"69","a69","b69","c69"
"70","a70","b70","c70"
"71","a71","b71","c71"
"72","a72","b72","c72"
"73","a73","b73","c73"
"74","a74","b74","c74"
"75","a75","b75","c75"
"76","a76","b76","c76"
"77","a77","b77","c77"
"78","a78","b78","c78"
"79","a79","b79","c79"
"80","a80","b80","c80"
