"ID","d","e","f"
"9999","d0","e0","f0"
"9998","d1","e1","f1"
"9997","d2","e2","f2"
"9996","d3","e3","f3"
"9995","d4","e4","f4"
"9994","d5","e5","f5"
"9993","d6","e6","f6"
"9992","d7","e7","f7"
"9991","d8","e8","f8"
"9990","d9","e9","f9"
"9989","d10","e10","f10"
"9988","d11","e11","f11"
"9987","d12","e12","f12"
"9986","d13","e13","f13"
"9985","d14","e14","f14"
"9984","d15","e15","f15"
"9983","d16","e16","f16"
"9982","d17","e17","f17"
"9981","d18","e18","f18"
"9980","d19","e19","f19"
"9979","d20","e20","f20"
"9978","d21","e21","f21"
"9977","d22","e22","f22"
"9976","d23","e23","f23"
"9975","d24","e24","f24"
"9974","d25","e25","f25"
"9973","d26","e26","f26"
"9972","d27","e27","f27"
"9971","d28","e28","f28"
"9970","d29","e29","f29"
"9969","d30","e30","f30"
"9968","d31","e31","f31"
"9967","d32","e32","f32"
"9966","d33","e33","f33"
"9965","d34","e34","f34"
"9964","d35","e35","f35"
"9963","d36","e36","f36"
"9962","d37","e37","f37"
"9961","d38","e38","f38"
"9960","d39","e39","f39"
"9959","d40","e40","f40"
"9958","d41","e41","f41"
"9957","d42","e42","f42"
"9956","d43","e43","f43"
"9955","d44","e44","f44"
"9954","d45","e45","f45"
"9953","d46","e46","f46"
"9952","d47","e47","f47"
"9951","d48","e48","f48"
"9950","d49","e49","f49"
"9949","d50","e50","f50"
"9948","d51","e51","f51"
"9947","d52","e52","f52"
"9946","d53","e53","f53"
"9945","d54","e54","f54"
"9944","d55","e55","f55"
"9943","d56","e56","f56"
"9942","d57","e57","f57"
"9941","d58","e58","f58"
"9940","d59","e59","f59"
"9939","d60","e60","f60"
"9938","d61","e61","f61"
"9937","d62","e62","f62"
"9936","d63","e63","f63"
"9935","d64","e64","f64"
"9934","d65","e65","f65"
"9933","d66","e66","f66"
"9932","d67","e67","f67"
"9931","d68","e68","f68"
"9930","d69","e69","f69"
"9929","d70","e70","f70"
"9928","d71","e71","f71"
"9927","d72","e72","f72"
"9926","d73","e73","f73"
"9925","d74","e74","f74"
"9924","d75","e75","f75"
"9923","d76","e76","f76"
"9922","d77","e77","f77"
"9921","d78","e78","f78"
"9920","d79","e79","f79"
"9919","d80","e80","f80"
"9918","d81","e81","f81"
"9917","d82","e82","f82"
"9916","d83","e83","f83"
"9915","d84","e84","f84"
"9914","d85","e85","f85"
"9913","d86","e86","f86"
"9912","d87","e87","f87"
"9911","d88","e88","f88"
"9910","d89","e89","f89"
"9909","d90","e90","f90"
"9908","d91","e91","f91"
"9907","d92","e92","f92"
"9906","d93","e93","f93"
"9905","d94","e94","f94"
"9904","d95","e95","f95"
"9903","d96","e96","f96"
"9902","d97","e97","f97"
"9901","d98","e98","f98"
"9900","d99","e99","f99"
"9899","d100","e100","f100"
"9898","d101","e101","f101"
"9897","d102","e102","f102"
"9896","d103","e103","f103"
"9895","d104","e104","f104"
"9894","d105","e105","f105"
"9893","d106","e106","f106"
"9892","d107","e107","f107"
"9891","d108","e108","f108"
"9890","d109","e109","f109"
"9889","d110","e110","f110"
"9888","d111","e111","f111"
"9887","d112","e112","f112"
"9886","d113","e113","f113"
